SK_Time,year,quarter,month,day_of_month,day_of_week
20170424,2017,2,4,24,Mon
20170425,2017,2,4,25,Tue
20170427,2017,2,4,27,Thu
20170428,2017,2,4,28,Fri
20170429,2017,2,4,29,Sat
20170501,2017,2,5,1,Mon
20170502,2017,2,5,2,Tue
20170503,2017,2,5,3,Wed
20170504,2017,2,5,4,Thu
20170505,2017,2,5,5,Fri
20170506,2017,2,5,6,Sat
20170507,2017,2,5,7,Sun
20170508,2017,2,5,8,Mon
20170509,2017,2,5,9,Tue
20170510,2017,2,5,10,Wed
20170511,2017,2,5,11,Thu
20170513,2017,2,5,13,Sat
20170514,2017,2,5,14,Sun
20170515,2017,2,5,15,Mon
20170516,2017,2,5,16,Tue
20170518,2017,2,5,18,Thu
20170519,2017,2,5,19,Fri
20170520,2017,2,5,20,Sat
20170521,2017,2,5,21,Sun
20170522,2017,2,5,22,Mon
20170523,2017,2,5,23,Tue
20170524,2017,2,5,24,Wed
20170525,2017,2,5,25,Thu
20170526,2017,2,5,26,Fri
20170527,2017,2,5,27,Sat
20170528,2017,2,5,28,Sun
20170529,2017,2,5,29,Mon
20170530,2017,2,5,30,Tue
20170531,2017,2,5,31,Wed
20170601,2017,2,6,1,Thu
20170602,2017,2,6,2,Fri
20170603,2017,2,6,3,Sat
20170604,2017,2,6,4,Sun
20170605,2017,2,6,5,Mon
20170607,2017,2,6,7,Wed
20170608,2017,2,6,8,Thu
20170609,2017,2,6,9,Fri
20170610,2017,2,6,10,Sat
20170611,2017,2,6,11,Sun
20170612,2017,2,6,12,Mon
20170613,2017,2,6,13,Tue
20170614,2017,2,6,14,Wed
20170615,2017,2,6,15,Thu
20170616,2017,2,6,16,Fri
20170617,2017,2,6,17,Sat
20170618,2017,2,6,18,Sun
20170619,2017,2,6,19,Mon
20170620,2017,2,6,20,Tue
20170621,2017,2,6,21,Wed
20170622,2017,2,6,22,Thu
20170623,2017,2,6,23,Fri
20170624,2017,2,6,24,Sat
20170625,2017,2,6,25,Sun
20170626,2017,2,6,26,Mon
20170627,2017,2,6,27,Tue
20170630,2017,2,6,30,Fri
20170701,2017,3,7,1,Sat
20170702,2017,3,7,2,Sun
20170703,2017,3,7,3,Mon
20170704,2017,3,7,4,Tue
20170705,2017,3,7,5,Wed
20170706,2017,3,7,6,Thu
20170707,2017,3,7,7,Fri
20170708,2017,3,7,8,Sat
20170709,2017,3,7,9,Sun
20170710,2017,3,7,10,Mon
20170711,2017,3,7,11,Tue
20170712,2017,3,7,12,Wed
20170713,2017,3,7,13,Thu
20170714,2017,3,7,14,Fri
20170715,2017,3,7,15,Sat
20170716,2017,3,7,16,Sun
20170718,2017,3,7,18,Tue
20170719,2017,3,7,19,Wed
20170720,2017,3,7,20,Thu
20170722,2017,3,7,22,Sat
20170723,2017,3,7,23,Sun
20170726,2017,3,7,26,Wed
20170727,2017,3,7,27,Thu
20170729,2017,3,7,29,Sat
20170730,2017,3,7,30,Sun
20170731,2017,3,7,31,Mon
20170801,2017,3,8,1,Tue
20170802,2017,3,8,2,Wed
20170803,2017,3,8,3,Thu
20170804,2017,3,8,4,Fri
20170805,2017,3,8,5,Sat
20170806,2017,3,8,6,Sun
20170807,2017,3,8,7,Mon
20170808,2017,3,8,8,Tue
20170809,2017,3,8,9,Wed
20170810,2017,3,8,10,Thu
20170811,2017,3,8,11,Fri
20170812,2017,3,8,12,Sat
20170813,2017,3,8,13,Sun
20170814,2017,3,8,14,Mon
20170815,2017,3,8,15,Tue
20170816,2017,3,8,16,Wed
20170817,2017,3,8,17,Thu
20170818,2017,3,8,18,Fri
20170819,2017,3,8,19,Sat
20170820,2017,3,8,20,Sun
20170821,2017,3,8,21,Mon
20170822,2017,3,8,22,Tue
20170823,2017,3,8,23,Wed
20170824,2017,3,8,24,Thu
20170825,2017,3,8,25,Fri
20170826,2017,3,8,26,Sat
20170827,2017,3,8,27,Sun
20170828,2017,3,8,28,Mon
20170829,2017,3,8,29,Tue
20170831,2017,3,8,31,Thu
20170901,2017,3,9,1,Fri
20170902,2017,3,9,2,Sat
20170903,2017,3,9,3,Sun
20170904,2017,3,9,4,Mon
20170905,2017,3,9,5,Tue
20170906,2017,3,9,6,Wed
20170907,2017,3,9,7,Thu
20170908,2017,3,9,8,Fri
20170910,2017,3,9,10,Sun
20170911,2017,3,9,11,Mon
20170912,2017,3,9,12,Tue
20170913,2017,3,9,13,Wed
20170914,2017,3,9,14,Thu
20170915,2017,3,9,15,Fri
20170917,2017,3,9,17,Sun
20170918,2017,3,9,18,Mon
20170919,2017,3,9,19,Tue
20170920,2017,3,9,20,Wed
20170921,2017,3,9,21,Thu
20170922,2017,3,9,22,Fri
20170923,2017,3,9,23,Sat
20170924,2017,3,9,24,Sun
20170925,2017,3,9,25,Mon
20170927,2017,3,9,27,Wed
20170928,2017,3,9,28,Thu
20170929,2017,3,9,29,Fri
20170930,2017,3,9,30,Sat
20171001,2017,4,10,1,Sun
20171002,2017,4,10,2,Mon
20171003,2017,4,10,3,Tue
20171004,2017,4,10,4,Wed
20171005,2017,4,10,5,Thu
20171006,2017,4,10,6,Fri
20171007,2017,4,10,7,Sat
20171008,2017,4,10,8,Sun
20171009,2017,4,10,9,Mon
20171010,2017,4,10,10,Tue
20171011,2017,4,10,11,Wed
20171012,2017,4,10,12,Thu
20171013,2017,4,10,13,Fri
20171014,2017,4,10,14,Sat
20171015,2017,4,10,15,Sun
20171016,2017,4,10,16,Mon
20171017,2017,4,10,17,Tue
20171019,2017,4,10,19,Thu
20171021,2017,4,10,21,Sat
20171022,2017,4,10,22,Sun
20171023,2017,4,10,23,Mon
20171024,2017,4,10,24,Tue
20171025,2017,4,10,25,Wed
20171026,2017,4,10,26,Thu
20171027,2017,4,10,27,Fri
20171028,2017,4,10,28,Sat
20171030,2017,4,10,30,Mon
20171031,2017,4,10,31,Tue
20171101,2017,4,11,1,Wed
20171102,2017,4,11,2,Thu
20171103,2017,4,11,3,Fri
20171104,2017,4,11,4,Sat
20171105,2017,4,11,5,Sun
20171106,2017,4,11,6,Mon
20171107,2017,4,11,7,Tue
20171108,2017,4,11,8,Wed
20171109,2017,4,11,9,Thu
20171110,2017,4,11,10,Fri
20171111,2017,4,11,11,Sat
20171112,2017,4,11,12,Sun
20171113,2017,4,11,13,Mon
20171116,2017,4,11,16,Thu
20171117,2017,4,11,17,Fri
20171118,2017,4,11,18,Sat
20171119,2017,4,11,19,Sun
20171120,2017,4,11,20,Mon
20171121,2017,4,11,21,Tue
20171122,2017,4,11,22,Wed
20171123,2017,4,11,23,Thu
20171124,2017,4,11,24,Fri
20171125,2017,4,11,25,Sat
20171126,2017,4,11,26,Sun
20171127,2017,4,11,27,Mon
20171128,2017,4,11,28,Tue
20171129,2017,4,11,29,Wed
20171130,2017,4,11,30,Thu
20171201,2017,4,12,1,Fri
20171202,2017,4,12,2,Sat
20171203,2017,4,12,3,Sun
20171204,2017,4,12,4,Mon
20171206,2017,4,12,6,Wed
20171207,2017,4,12,7,Thu
20171208,2017,4,12,8,Fri
20171209,2017,4,12,9,Sat
20171210,2017,4,12,10,Sun
20171211,2017,4,12,11,Mon
20171214,2017,4,12,14,Thu
20171215,2017,4,12,15,Fri
20171216,2017,4,12,16,Sat
20171217,2017,4,12,17,Sun
20171220,2017,4,12,20,Wed
20171222,2017,4,12,22,Fri
20171224,2017,4,12,24,Sun
20171225,2017,4,12,25,Mon
20171226,2017,4,12,26,Tue
20171227,2017,4,12,27,Wed
20171228,2017,4,12,28,Thu
20171230,2017,4,12,30,Sat
20171231,2017,4,12,31,Sun
20180101,2018,1,1,1,Mon
20180102,2018,1,1,2,Tue
20180103,2018,1,1,3,Wed
20180104,2018,1,1,4,Thu
20180105,2018,1,1,5,Fri
20180106,2018,1,1,6,Sat
20180107,2018,1,1,7,Sun
20180109,2018,1,1,9,Tue
20180110,2018,1,1,10,Wed
20180111,2018,1,1,11,Thu
20180112,2018,1,1,12,Fri
20180113,2018,1,1,13,Sat
20180114,2018,1,1,14,Sun
20180115,2018,1,1,15,Mon
20180116,2018,1,1,16,Tue
20180117,2018,1,1,17,Wed
20180119,2018,1,1,19,Fri
20180120,2018,1,1,20,Sat
20180121,2018,1,1,21,Sun
20180122,2018,1,1,22,Mon
20180123,2018,1,1,23,Tue
20180124,2018,1,1,24,Wed
20180125,2018,1,1,25,Thu
20180126,2018,1,1,26,Fri
20180127,2018,1,1,27,Sat
20180128,2018,1,1,28,Sun
20180129,2018,1,1,29,Mon
20180130,2018,1,1,30,Tue
20180201,2018,1,2,1,Thu
20180202,2018,1,2,2,Fri
20180204,2018,1,2,4,Sun
20180205,2018,1,2,5,Mon
20180206,2018,1,2,6,Tue
20180207,2018,1,2,7,Wed
20180208,2018,1,2,8,Thu
20180209,2018,1,2,9,Fri
20180211,2018,1,2,11,Sun
20180212,2018,1,2,12,Mon
20180213,2018,1,2,13,Tue
20180214,2018,1,2,14,Wed
20180215,2018,1,2,15,Thu
20180216,2018,1,2,16,Fri
20180217,2018,1,2,17,Sat
20180218,2018,1,2,18,Sun
20180219,2018,1,2,19,Mon
20180221,2018,1,2,21,Wed
20180223,2018,1,2,23,Fri
20180225,2018,1,2,25,Sun
20180226,2018,1,2,26,Mon
20180227,2018,1,2,27,Tue
20180301,2018,1,3,1,Thu
20180303,2018,1,3,3,Sat
20180304,2018,1,3,4,Sun
20180305,2018,1,3,5,Mon
20180306,2018,1,3,6,Tue
20180307,2018,1,3,7,Wed
20180308,2018,1,3,8,Thu
20180310,2018,1,3,10,Sat
20180311,2018,1,3,11,Sun
20180314,2018,1,3,14,Wed
20180315,2018,1,3,15,Thu
20180316,2018,1,3,16,Fri
20180317,2018,1,3,17,Sat
20180318,2018,1,3,18,Sun
20180319,2018,1,3,19,Mon
20180320,2018,1,3,20,Tue
20180321,2018,1,3,21,Wed
20180322,2018,1,3,22,Thu
20180323,2018,1,3,23,Fri
20180324,2018,1,3,24,Sat
20180325,2018,1,3,25,Sun
20180326,2018,1,3,26,Mon
20180327,2018,1,3,27,Tue
20180328,2018,1,3,28,Wed
20180329,2018,1,3,29,Thu
20180330,2018,1,3,30,Fri
20180331,2018,1,3,31,Sat
20180401,2018,2,4,1,Sun
20180402,2018,2,4,2,Mon
20180403,2018,2,4,3,Tue
20180404,2018,2,4,4,Wed
20180405,2018,2,4,5,Thu
20180406,2018,2,4,6,Fri
20180407,2018,2,4,7,Sat
20180408,2018,2,4,8,Sun
20180409,2018,2,4,9,Mon
20180410,2018,2,4,10,Tue
20180411,2018,2,4,11,Wed
20180412,2018,2,4,12,Thu
20180413,2018,2,4,13,Fri
20180414,2018,2,4,14,Sat
20180415,2018,2,4,15,Sun
20180416,2018,2,4,16,Mon
20180417,2018,2,4,17,Tue
20180418,2018,2,4,18,Wed
20180419,2018,2,4,19,Thu
20180420,2018,2,4,20,Fri
20180421,2018,2,4,21,Sat
20180422,2018,2,4,22,Sun
20180423,2018,2,4,23,Mon
20180424,2018,2,4,24,Tue
20180425,2018,2,4,25,Wed
20180426,2018,2,4,26,Thu
20180427,2018,2,4,27,Fri
20180428,2018,2,4,28,Sat
20180429,2018,2,4,29,Sun
20180430,2018,2,4,30,Mon
20180501,2018,2,5,1,Tue
20180502,2018,2,5,2,Wed
20180503,2018,2,5,3,Thu
20180504,2018,2,5,4,Fri
20180601,2018,2,6,1,Fri
20180602,2018,2,6,2,Sat
20180603,2018,2,6,3,Sun
20180604,2018,2,6,4,Mon
20180609,2018,2,6,9,Sat
20180617,2018,2,6,17,Sun
20180701,2018,3,7,1,Sun
20180702,2018,3,7,2,Mon
20180703,2018,3,7,3,Tue
20180704,2018,3,7,4,Wed
20180710,2018,3,7,10,Tue
20180711,2018,3,7,11,Wed
20180712,2018,3,7,12,Thu
20180802,2018,3,8,2,Thu
20180803,2018,3,8,3,Fri
20180804,2018,3,8,4,Sat
20180823,2018,3,8,23,Thu
20180825,2018,3,8,25,Sat
20180901,2018,3,9,1,Sat
20180902,2018,3,9,2,Sun
20180904,2018,3,9,4,Tue
20180906,2018,3,9,6,Thu
20181001,2018,4,10,1,Mon
20181003,2018,4,10,3,Wed
20181004,2018,4,10,4,Thu
20181007,2018,4,10,7,Sun
20181021,2018,4,10,21,Sun
20181101,2018,4,11,1,Thu
20181102,2018,4,11,2,Fri
20181103,2018,4,11,3,Sat
20181104,2018,4,11,4,Sun
20181107,2018,4,11,7,Wed
20181118,2018,4,11,18,Sun
20181128,2018,4,11,28,Wed
20181201,2018,4,12,1,Sat
20181202,2018,4,12,2,Sun
20181204,2018,4,12,4,Tue
20181207,2018,4,12,7,Fri
20181228,2018,4,12,28,Fri
20181229,2016,1,1,NULL,Fri
20181230,2016,1,1,NULL,Sat
20181231,2016,1,1,NULL,Sun
20181232,2016,1,1,NULL,Tue
20181233,2016,1,1,NULL,Wed
20181234,2016,1,1,NULL,Thu
20181235,2016,1,1,NULL,Fri
20181236,2016,1,1,NULL,Sat
20181237,2016,1,1,NULL,Sun
20181238,2016,1,1,NULL,Thu
20181239,2016,1,1,NULL,Fri
20181240,2016,1,1,NULL,Sat
20181241,2016,1,1,NULL,Mon
20181242,2016,1,1,NULL,Tue
